SURVEY_SERIES_ID,BLOCK_DESIGNATION,LATITUDE,LONGITUDE,DEPTH_M,GROUPING_CODE,SELECTION_IND,SELECTION_ID,SELECTION_TYPE_CODE,FE_MAJOR_LEVEL_ID,STATUS_CODE,NUM_FISHING_ATTEMPTS,SITE_STATUS_DESCRIPTION
43,7504,49.27972,-127.0753,-189,50,1,1,1,23,6,1,Successfully fished on first attempt
43,7540,49.19116,-127.1611,-1050,52,1,1,1,22,6,1,Successfully fished on first attempt
43,7574,49.13588,-127.0809,-789,51,1,1,1,20,6,1,Successfully fished on first attempt
43,7704,48.97121,-126.9232,-804,51,1,1,1,19,6,1,Successfully fished on first attempt
43,7718,48.9637,-126.5409,-274,50,1,1,1,15,6,1,Successfully fished on first attempt
43,7780,48.8993,-126.9262,-978,52,1,1,1,17,6,1,Successfully fished on first attempt
43,7855,48.82537,-126.8202,-1208,52,1,1,1,16,6,1,Successfully fished on first attempt
43,7903,48.78336,-126.5225,-331,50,1,1,1,12,6,1,Successfully fished on first attempt
43,7905,48.78218,-126.4681,-284,50,1,1,1,13,6,1,Successfully fished on first attempt
43,7909,48.77974,-126.3594,-265,50,1,1,1,14,6,2,Successfully fished on first attempt
43,8012,48.6929,-126.4998,-657,51,1,1,1,10,6,1,Successfully fished on first attempt
43,8059,48.65754,-126.5287,-974,52,1,1,1,9,6,1,Successfully fished on first attempt
